id,macroCategoria,subTipo,descripcion
1,CHOCOLATE,SIMPLE,"Chocolates puros"
2,CHOCOLATE,SPRINKLES,"Base chocolate + texturas/sólidos"
3,DULCE DE LECHE,SIMPLE,"Dulce de leche puro"
4,DULCE DE LECHE,SPRINKLES,"Base DDL + texturas/sólidos"
5,CREMA,SIMPLE,"Base crema o emulsionados de crema/leche"
6,CREMA,SPRINKLES,"Base crema + galletitas/veteados/sólidos"
7,FRUTA,CREMA,"Frutales con base láctea"
8,FRUTA,AGUA,"Frutales al agua"
9,AUTOR,,"Creaciones complejas y exclusivas de cada heladería"
10,MISC,,"Exóticos / ediciones limitadas (Fernet, Dubai, Kinder, etc.)"
