id,idCadena,nombre,direccion,lat,lng,barrio,activa
1,,Antiche Tentazioni,Honduras 4770,-34.5902786,-58.427948,Palermo,True
2,,La Flor de Almagro,Av. Estado de Israel 4727,-34.6009079,-58.4313756,Almagro,True
3,,Heladería Scannapieco,Av. Álvarez Thomas 10,-34.5831917,-58.4447213,Colegiales,True
4,,LadobuenO,Cdad. de la Paz 407,-34.5736188,-58.4424552,Belgrano,True
5,,Finde Heladería,Dr. Emilio Ravignani 1949,-34.579924,-58.4371233,Palermo,True
6,,Heladería Pistacchio,Santos Dumont 3429,-34.5823239,-58.4474403,Colegiales,True
7,,Vibean Heladería,Charcas 3155,-34.5925585,-58.4103876,Recoleta,True
8,,Heladería Capricci,Paraguay 5502,-34.5770408,-58.4341727,Palermo,True
9,,Las Malvinas,Av. Corrientes 5402,-34.5981543,-58.4409458,Villa Crespo,True
10,,Heladería Kuono,Gorriti 4812,-34.5906444,-58.4295749,Palermo,True
11,,Heladería Vellezo,Pje. Virasoro 2399,-34.5840365,-58.4204717,Almagro,True
