id,fecha,heladeria_id,categoria_id,puntaje_gusto,puntaje_general
1,2026-05-11,3,10,9.8,10.0
2,2025-12-27,1,2,9.9,9.2
3,2025-12-05,1,10,8.5,9.0
4,2026-02-07,2,2,7.8,5.9
5,2026-01-30,4,3,6.4,7.2
6,2026-01-25,3,4,10.0,8.9
7,2026-01-03,2,5,7.2,7.5
8,2025-12-25,6,2,9.2,9.2
9,2026-05-21,6,4,9.6,8.6
10,2026-04-17,1,9,9.4,7.6
11,2025-12-21,3,5,8.4,9.3
12,2026-04-29,11,8,9.2,8.6
13,2026-03-17,1,2,8.7,8.4
14,2025-12-07,4,3,6.8,7.7
15,2025-12-06,3,5,9.5,8.8
16,2025-12-22,1,10,8.3,9.1
17,2026-01-23,1,8,9.5,9.3
18,2026-01-27,8,1,6.7,6.9
19,2026-04-07,10,6,8.3,8.3
20,2026-05-02,3,3,9.9,10.0
21,2025-12-05,10,5,8.9,7.9
22,2026-04-21,8,6,7.3,8.4
23,2026-01-18,5,4,8.5,8.0
24,2026-05-14,3,5,9.1,9.4
25,2026-05-27,4,8,6.5,6.5
26,2026-04-17,10,8,9.2,8.7
27,2026-03-16,8,2,7.4,7.9
28,2026-01-24,8,9,6.8,6.8
29,2026-03-23,2,4,7.8,7.6
30,2026-04-28,1,5,7.8,8.3
31,2026-02-08,1,3,8.7,8.9
32,2025-11-30,5,7,8.6,8.1
33,2026-01-08,11,3,7.4,8.5
34,2026-05-26,3,1,9.3,10.0
35,2026-03-17,1,3,8.7,8.8
36,2026-02-24,1,5,9.6,9.2
37,2026-02-08,3,7,10.0,8.0
38,2026-01-07,6,5,8.9,8.9
39,2026-01-23,1,6,7.7,8.7
40,2026-02-23,6,2,9.0,10.0
41,2025-12-25,10,2,8.1,8.1
42,2025-12-22,10,9,9.2,7.4
43,2026-03-06,9,6,6.7,7.7
44,2025-12-23,1,9,9.0,9.2
45,2026-02-28,3,3,9.7,9.3
46,2026-02-25,10,8,8.1,8.6
47,2026-05-02,1,9,9.0,8.0
48,2026-02-04,1,2,10.0,9.0
49,2025-12-10,6,3,8.9,10.0
50,2026-03-26,3,7,10.0,9.4
51,2026-04-15,6,6,9.4,8.8
52,2025-12-30,3,3,9.2,9.4
53,2026-03-05,10,6,8.6,9.6
54,2025-12-19,6,5,10.0,8.7
55,2026-04-19,3,1,8.6,9.5
56,2026-02-12,10,10,8.4,9.0
57,2026-05-08,1,9,9.1,8.5
58,2026-05-06,11,9,8.1,7.3
59,2026-03-01,9,3,7.9,6.6
60,2026-04-25,10,7,8.0,8.5
61,2026-01-17,6,10,9.6,8.5
62,2026-05-28,10,7,9.4,9.2
63,2025-12-16,3,3,9.7,9.5
64,2025-12-10,10,9,9.0,10.0
65,2026-05-17,8,6,8.0,7.6
66,2026-01-26,10,3,8.1,8.2
67,2026-02-11,6,1,10.0,7.9
68,2025-12-19,3,6,9.0,10.0
69,2026-01-27,1,5,8.3,9.1
70,2025-12-24,6,1,9.6,8.9
71,2026-03-06,5,6,7.0,8.3
72,2026-02-08,8,3,6.7,7.0
73,2026-03-25,1,10,9.2,9.3
74,2026-05-10,4,2,6.8,6.4
75,2026-03-02,5,7,7.5,8.9
76,2026-01-09,11,7,10.0,9.3
77,2026-03-03,4,3,8.0,6.3
78,2026-02-27,1,1,9.1,9.2
79,2026-01-21,5,1,6.1,7.4
80,2026-05-19,1,4,9.9,7.5
81,2026-02-05,6,1,10.0,8.3
82,2026-05-27,5,9,7.7,8.6
83,2026-05-22,1,6,8.8,8.3
84,2026-05-13,10,6,9.7,7.4
85,2025-12-17,5,5,8.3,8.7
86,2026-05-03,11,9,8.9,8.0
87,2026-05-10,1,3,8.4,9.3
88,2026-01-11,1,7,9.4,8.8
89,2026-04-14,7,8,7.5,7.5
90,2026-01-30,8,8,7.3,7.2
91,2026-01-09,3,8,9.7,8.9
92,2026-03-27,9,4,8.4,8.3
93,2026-03-06,1,9,9.7,8.6
94,2026-02-06,3,9,9.5,9.0
95,2026-05-11,11,6,8.1,10.0
96,2026-05-24,3,3,10.0,9.7
97,2026-04-20,8,8,7.3,6.4
98,2026-01-24,1,5,9.5,8.5
99,2026-05-23,3,1,9.6,8.6
100,2026-02-20,6,1,9.8,9.0
101,2025-12-13,1,9,8.5,8.8
102,2026-01-26,1,10,7.8,7.5
103,2025-12-07,9,9,7.3,7.4
104,2026-02-17,8,6,7.9,7.0
105,2026-03-11,1,5,8.8,8.4
106,2026-02-05,1,1,9.0,7.9
107,2025-12-15,7,6,8.0,8.2
108,2026-01-22,3,9,9.5,9.1
109,2026-04-23,1,6,8.8,9.0
110,2026-02-17,6,7,10.0,8.8
111,2026-01-22,6,9,10.0,8.8
112,2026-05-15,3,2,7.8,8.7
113,2026-04-05,6,1,9.8,10.0
114,2026-03-10,3,8,8.7,9.5
115,2026-05-12,10,9,7.7,9.9
116,2026-03-26,10,9,9.4,8.0
117,2026-01-04,11,2,7.5,9.6
118,2026-02-04,11,9,8.6,9.5
119,2026-01-03,4,3,7.1,6.9
120,2026-01-31,8,9,7.0,7.6
121,2026-04-21,5,2,8.5,8.6
122,2026-04-15,2,7,6.5,8.4
123,2026-02-04,1,7,9.9,8.7
124,2026-04-27,5,9,9.8,9.6
125,2026-03-18,10,4,9.1,9.5
126,2026-04-27,6,3,10.0,8.0
127,2026-03-11,4,4,6.9,7.5
128,2026-03-01,5,8,9.5,7.1
129,2026-01-24,10,9,7.4,8.4
130,2026-01-03,5,10,7.0,8.1
